#;NAME;RAJD;DECJD;P0;P1;F0;ASSOC;
51;B1853+01;284.04438151;1.22257591;0.267440;2.08e-13;3.739162;SNR:W44,XRS:PWN[pks02];
52;J1907+0602;286.97808333;6.03802778;0.106633;8.68e-14;9.377982;GRS:4FGL_J1907.9+0602[aab+22],SNR:G40.5-;
53;J1907+0631;286.76590000;6.52191667;0.323648;4.52e-13;3.089776;SNR:G40.5-0.5[lsb+17];
54;J1907+0919;286.80970833;9.32225000;5.198346;9.20e-11;0.192369;SNR:G42.8+0.6(?),XRS:SGR_1900+14;
55;J1930+1852;292.62554167;18.87058333;0.136855;7.51e-13;7.307001;SNR:G54.1+0.3,XRS:;
56;J1935+2154;293.73200000;21.89672222;3.244980;;0.308168;XRS:SGR_1935+2154,SNR:G57.2+0.8(?)[gae14;
57;B1951+32;298.24252500;32.87791944;0.039531;5.84e-15;25.296479;GRS:4FGL_J1952.9+3252[aab+22],SNR:CTB80;
58;J1957+2831;299.33082176;28.52884511;0.307683;3.11e-15;3.250100;SNR:G65.1+0.6(?)[tl06];
59;J2021+4026;305.37495833;40.44586111;0.265318;5.47e-14;3.769067;GRS:4FGL_J2021.5+4026[aab+22],SNR:G78.2+;
60;J2022+3842;305.59037083;38.70411667;0.048579;8.61e-14;20.585120;GRS:4FGL_J2022.3+3840[aab+22],XRS:CXOU_J;
61;J2229+6114;337.27200000;61.23591667;0.051648;7.74e-14;19.361989;GRS:4FGL_J2229.0+6114[aab+22],SNR:G106.6;
62;J2301+5852;345.28454167;58.87901389;6.979071;4.71e-13;0.143286;SNR:CTB109,XRS:1E_2259+586;
63;B2334+61;354.27400833;61.85042500;0.495370;1.93e-13;2.018694;SNR:G114.3+0.3[frs93];
