#;NAME;PSRJ;RAJ;DECJ;PMRA;PMDEC;PX;POSEPOCH;ELONG;ELAT;PMELONG;PMELAT;Gl;Gb;RAJD;DECJD;P0;P1;F0;F1;F2;F3;PEPOCH;DM;DM1;RM;W50;W10;UNITS;TAU_SC;S400;S1400;S2000;BINARY;T0;PB;A1;OM;ECC;TASC;EPS1;EPS2;Minimum;Median;BINCOMP;DIST;DIST_DM;DMsin(b);ZZ;XX;YY;ASSOC;SURVEY;OSURVEY;DISC.;PSR;NGLT;
325;J0647+0913;J0647+0913;06:47:15.6;+09:13:59.5;;;;54195.00;102.007;-13.715;;;204.233;3.277;101.81533333;9.23319444;1.234854;6.42e-15;0.809813;-4.211e-15;;;54195.00;154.70;;;9.600;31.000;TDB;;;0.18;;;;;;;;;;;;;;2.666;2.666;8.84;0.152;-1.092;10.927;;pkspa;000100000000;2013;;;
326;J0648-27;J0648-27;06:48;-27;;;;;106.660;-49.748;;;237.001;-12.645;102.00000000;-27.00000000;4.169000;;0.239866;;;;;132.50;;;54.000;116.000;TDB;;;;;;;;;;;;;;;;;9.987;9.987;-29.01;-2.186;-8.173;13.807;;gbncc;002000000000;2020;;;
327;J0652-0142;J0652-0142;06:52:11.1;-01:42:30.3;;;;54031.00;104.357;-24.500;;;214.538;-0.613;103.04627500;-1.70841667;0.924054;1.52e-16;1.082188;-1.786e-16;;;54031.00;116.30;;;21.000;24.000;TDB;;;0.41;;;;;;;;;;;;;;2.318;2.318;-1.24;-0.025;-1.314;10.409;;pkspa,gbncc;002100000000;2013;;;
328;J0653+06;J0653+06;06:53;-06:16;;;;;105.101;-29.014;;;218.690;-2.507;103.25000000;-6.26666667;0.790000;;1.265823;;;;;83.70;;;;;TDB;;;;;;;;;;;;;;;;;2.140;2.140;-3.66;-0.094;-1.336;10.169;;chime;200000000000;2023;RRAT[dcm+23];;
329;J0653+4706;J0653+4706;06:53:05.8;+47:06:26.9;;;;57939.90;99.859;24.121;;;169.259;19.783;103.27422083;47.10747778;0.004758;2.08e-20;210.166607;-9.170e-16;;;57939.90;25.54;;;;;TCB;;;;;ELL1;;5.8443;5.0293;106.00;1.342e-05;57939.8992;1.290e-05;-3.700e-06;0.2139;0.2508;;0.913;0.913;8.64;0.309;0.160;9.344;GRS:4FGL_J0652.9+4707[aab+22];FermiAssoc;000020000000;2017;HE;;
330;B0643+80;J0653+8051;06:53:15.0;+80:52:00.2;19.000;-1.000;;48712.00;93.912;57.608;;;133.178;26.828;103.31287500;80.86672778;1.214441;3.80e-15;0.823424;-2.576e-15;8.200e-28;;48712.00;33.32;;-31.77;13.900;41.900;TDB;;6.50;0.40;;;;;;;;;;;;;;2.348;2.348;15.04;1.060;1.528;9.934;;gb1,gbncc,lotaas;022000000020;1982;;;
331;J0656-2228;J0656-2228;06:56:30.2;-22:28:25.5;;;;52850.00;108.600;-45.005;;;233.655;-8.982;104.12586250;-22.47376389;1.224754;2.67e-17;0.816490;-1.780e-17;;;52850.00;32.39;;83.00;16.000;29.000;TDB;;;3.00;;;;;;;;;;;;;;1.623;1.623;-5.06;-0.253;-1.291;9.450;;pkshl,gbncc;002001000000;2006;;;
332;J0656-5449;J0656-5449;06:56:48.9;-54:49:14.9;;;;53000.00;127.044;-76.428;;;264.795;-21.141;104.20412500;-54.82081111;0.183157;3.19e-17;5.459800;-9.512e-16;;;53000.00;67.50;;;5.700;10.200;TDB;;;0.40;;;;;;;;;;;;;;0.372;0.372;-24.35;-0.134;-0.346;8.531;;pkssw;000000100000;2009;;;
333;J0658+0022;J0658+0022;06:58:15.2;+00:22:35.3;;;;54322.00;105.766;-22.269;;;213.374;1.688;104.56337083;0.37647222;0.563295;9.15e-15;1.775269;-2.884e-14;;;54322.00;115.60;;;12.670;;TDB;;;0.13;;;;;;;;;;;;;;2.301;2.301;3.41;0.068;-1.265;10.421;;pkspa,fast_gpps;100100000000;2013;;;
334;J0658+2936;J0658+2936;06:57:44.6;+29:36:29;;;;59266.00;102.608;6.798;;;186.671;14.275;104.43591667;29.60805556;0.823701;1.44e-15;1.214033;-2.120e-15;;;59266.00;39.00;;;;;TDB;;;;;;;;;;;;;;;;;0.815;0.815;9.62;0.201;-0.092;9.284;;chime;200000000000;2023;;;
