#;NAME;PSRJ;RAJ;DECJ;PMRA;PMDEC;PX;POSEPOCH;ELONG;ELAT;PMELONG;PMELAT;Gl;Gb;RAJD;DECJD;P0;P1;F0;F1;F2;F3;PEPOCH;DM;DM1;RM;W50;W10;UNITS;TAU_SC;S400;S1400;S2000;BINARY;T0;PB;A1;OM;ECC;TASC;EPS1;EPS2;Minimum;Median;BINCOMP;DIST;DIST_DM;DMsin(b);ZZ;XX;YY;ASSOC;SURVEY;OSURVEY;DISC.;PSR;NGLT;
1;J0002+6216;J0002+6216;00:02:58.1;+62:16:09.4;;;;55806.00;37.547;54.067;;;117.327;-0.074;0.74237500;62.26927778;0.115364;5.97e-15;8.668248;-4.484e-13;;;55806.00;218.60;;;;;TDB;;;0.02;;;;;;;;;;;;;;6.357;6.357;-0.28;-0.008;5.648;11.418;GRS:4FGL_J0002.8+6217[aab+22],XRS:1XSPS_;FermiBlind;000004000000;2017;HE[wcp+18];;
2;J0006+1834;J0006+1834;00:06:04.8;+18:34:59;;;;49079.50;8.986;16.402;;;108.172;-42.985;1.52000000;18.58305556;0.693748;2.10e-15;1.441446;-4.357e-15;;;49079.50;11.41;;-20.00;82.000;195.000;TDB;;0.20;;;;;;;;;;;;;;;0.860;0.860;-7.78;-0.586;0.598;8.696;;ar4;000000020000;1996;;;
3;J0007+7303;J0007+7303;00:07:01.7;+73:03:07.4;;;;54952.00;53.145;60.936;;;119.660;10.463;1.75708333;73.05205556;0.315873;3.60e-13;3.165827;-3.612e-12;4.100e-23;5.400e-30;54952.00;;;;;;TDB;;;;;;;;;;;;;;;;;1.400;;;0.254;1.196;9.181;GRS:4FGL_J0007.0+7303[aab+22],XRS:RX_J00;FermiBlind;000004000000;2009;NRAD[aab+22];1;
4;J0011+08;J0011+08;00:11:34;+08:10;;;;57022.00;5.909;6.342;;;106.228;-53.407;2.89166667;8.16666667;2.552870;;0.391716;;;;57022.00;24.90;;;28.000;;TDB;;;;;;;;;;;;;;;;;5.399;5.399;-19.99;-4.335;3.090;9.399;;ar327;001000000000;2016;;;
5;J0012+5431;J0012+5431;00:12:23.3;+54:31:47;;;;58912.00;31.330;47.285;;;117.231;-7.909;3.09708333;54.52972222;3.025301;1.28e-16;0.330546;-1.400e-17;;;58912.00;131.30;;;;;TDB;;;;;;;;;;;;;;;;;5.425;5.425;-18.07;-0.746;4.778;10.959;;chime;200000000000;2023;RRAT[dcm+23];;
6;B0011+47;J0014+4746;00:14:17.7;+47:46:33.4;19.300;-19.700;;49664.00;26.403;41.510;;;116.497;-14.631;3.57395833;47.77594444;1.240699;5.64e-16;0.805997;-3.667e-16;7.300e-28;;49664.00;30.41;;-15.56;88.700;142.500;TDB;0.00;14.00;3.00;;;;;;;;;;;;;;1.776;1.776;-7.68;-0.449;1.538;9.267;;gb1,gb2,gb3,lotaas;020000000260;1978;;;
7;J0021-0909;J0021-0909;00:21:51.4;-09:09:58.7;;;;58388.00;1.334;-10.577;;;100.291;-70.726;5.46445833;-9.16630556;2.314131;1.04e-15;0.432128;-1.940e-16;;;58388.00;25.20;;-15.00;23.800;42.700;TDB;;;0.13;;;;;;;;;;;;;;25.000;25.000;-23.79;-23.599;8.119;9.974;;fast_crafts;040000000000;2020;;;
8;J0023+0923;J0023+0923;00:23:16.8;+09:23:23.8;-12.435;-6.160;0.550;56845.00;9.070;6.309;-13.860;-0.700;111.383;-52.849;5.82032291;9.38996121;0.003050;1.14e-20;327.847021;-1.228e-15;;;56845.00;14.32;;-5.10;;;TDB;0.00;2.90;0.73;;ELL1;;0.1388;0.0348;115.11;7.068e-06;56845.0408;6.400e-06;-3.000e-06;0.0164;0.0189;UL[hrm+11];1.818;1.247;-11.42;-1.449;1.022;8.900;GRS:4FGL_J0023.4+0920[aab+22],OPT:[bvr+1;FermiAssoc;000020000000;2011;HE;;
9;J0024-7204aa;J0024-7204aa;00:24:05.6;-72:04:52.6;5.252;-2.551;0.232;57022.00;311.252;-62.353;;;305.895;-44.889;6.02362500;-72.08128333;0.001840;;543.478261;;;;57022.00;24.92;;28.90;;;TDB;;;;;;;;;;;;;;;;;4.521;2.675;-17.59;-3.191;-2.595;6.622;GC:47Tuc(NGC104),XRS:[bhc+17];misc;000000400000;2016;;;
10;J0024-7204ab;J0024-7204ab;00:24:08.1;-72:04:47.6;5.252;-2.551;0.232;51600.00;311.259;-62.355;;;305.891;-44.891;6.03400625;-72.07988944;0.003705;9.82e-21;269.931798;-7.155e-16;-8.000e-27;;51600.00;24.33;;26.40;;;TDB;;;;;;;;;;;;;;;;;4.521;2.530;-17.17;-3.191;-2.595;6.622;GC:47Tuc(NGC104),XRS:[bhc+17];misc;000000400000;2016;;;
11;J0024-7204ac;J0024-7204ac;00:24:05.6;-72:04:05;5.252;-2.551;0.232;;311.277;-62.346;;;305.898;-44.902;6.02362500;-72.06805556;0.002740;;364.963504;;;;;24.46;;;;;TDB;;;0.15;;BT;;0.1800;0.0190;;;;;;0.0075;0.0086;UL(?)[rgf+21];4.521;2.562;-17.27;-3.191;-2.594;6.622;GC:47Tuc(NGC104);meerkat_trapum;400000000000;2021;;;
12;J0024-7204ad;J0024-7204ad;00:24:05.6;-72:04:05;5.252;-2.551;0.232;;311.277;-62.346;;;305.898;-44.902;6.02362500;-72.06805556;0.003740;;267.379679;;;;;24.41;;;;;TDB;;;0.08;;BT;;0.3200;0.6800;;;;;;0.1993;0.2335;MS(?)[rgf+21];4.521;2.551;-17.23;-3.191;-2.594;6.622;GC:47Tuc(NGC104);meerkat_trapum;400000000000;2021;;;
13;B0021-72C;J0024-7204C;00:23:50.3;-72:04:31.5;5.252;-2.551;0.232;51600.00;311.241;-62.333;;;305.923;-44.892;5.95981083;-72.07541800;0.005757;-4.99e-20;173.708219;1.504e-15;1.300e-27;;51600.00;24.59;;27.30;0.664;1.180;TDB;;1.53;0.52;0.23;;;;;;;;;;;;;4.521;2.593;-17.36;-3.191;-2.594;6.621;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;000000200000;1990;;;
14;B0021-72D;J0024-7204D;00:24:13.8;-72:04:43.8;5.252;-2.551;0.232;51600.00;311.269;-62.360;;;305.881;-44.893;6.05783717;-72.07884789;0.005358;-3.42e-21;186.651670;1.192e-16;-1.200e-27;;51600.00;24.74;;26.00;0.303;0.476;TDB;;0.95;0.35;0.20;;;;;;;;;;;;;4.521;2.630;-17.46;-3.191;-2.595;6.623;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;000000200000;1991;;;
15;B0021-72E;J0024-7204E;00:24:11.1;-72:05:20.1;5.252;-2.551;0.232;51600.00;311.246;-62.363;;;305.883;-44.883;6.04627200;-72.08893033;0.003536;9.85e-20;282.779107;-7.877e-15;2.900e-27;;51600.00;24.24;;26.00;0.900;;TDB;;;;;DD;51001.7900;2.2568;1.9818;218.60;3.159e-04;;;;0.1549;0.1809;;4.521;2.510;-17.10;-3.190;-2.595;6.622;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;000000200000;1991;;;
16;B0021-72F;J0024-7204F;00:24:03.8;-72:04:42.8;5.252;-2.551;0.232;51600.00;311.255;-62.349;;;305.899;-44.892;6.01606446;-72.07856064;0.002624;6.45e-20;381.158664;-9.371e-15;6.800e-27;;51600.00;24.38;;26.60;0.500;;TDB;;;;;;;;;;;;;;;;;4.521;2.544;-17.21;-3.191;-2.595;6.622;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;000000200000;1991;;;
17;B0021-72G;J0024-7204G;00:24:07.9;-72:04:39.7;5.252;-2.551;0.232;51600.00;311.262;-62.353;;;305.891;-44.893;6.03316792;-72.07769528;0.004040;-4.22e-20;247.501525;2.583e-15;6.000e-27;;51600.00;24.43;;25.80;0.700;;TDB;;;;;;;;;;;;;;;;;4.521;2.556;-17.25;-3.191;-2.595;6.622;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;000000200000;1995;;;
18;B0021-72H;J0024-7204H;00:24:06.7;-72:04:06.8;5.252;-2.551;0.232;51600.00;311.277;-62.347;;;305.896;-44.902;6.02793000;-72.06855742;0.003210;-1.83e-21;311.493418;1.775e-16;1.600e-25;;51600.00;24.38;;27.50;0.600;;TDB;;;;;DD;51602.1863;2.3577;2.1528;110.60;7.056e-02;;;;0.1641;0.1918;He[fck+03];4.521;2.542;-17.21;-3.191;-2.594;6.622;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;000000200000;1991;;;
19;B0021-72I;J0024-7204I;00:24:07.9;-72:04:39.6;5.252;-2.551;0.232;51600.00;311.262;-62.353;;;305.892;-44.893;6.03306125;-72.07768931;0.003485;-4.59e-20;286.944700;3.777e-15;-3.350e-26;;51600.00;24.43;;26.20;;;TDB;;;;;ELL1;;0.2298;0.0384;;;51600.0024;;;0.0129;0.0149;UL[fck+03];4.521;2.555;-17.24;-3.191;-2.595;6.622;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;000000200000;1991;;;
20;B0021-72J;J0024-7204J;00:23:59.4;-72:03:58.7;5.252;-2.551;0.232;51600.00;311.271;-62.338;;;305.909;-44.903;5.99753208;-72.06633078;0.002101;-9.79e-21;476.046858;2.219e-15;2.000e-26;;51600.00;24.59;;24.00;0.209;0.328;TDB;;;0.44;0.20;BTX;51600.1084;0.1207;0.0404;;;;;;0.0209;0.0242;UL[fck+03];4.521;2.595;-17.36;-3.191;-2.594;6.622;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;000000200000;1991;;;
21;B0021-72L;J0024-7204L;00:24:03.7;-72:04:56.9;5.252;-2.551;0.232;51600.00;311.247;-62.351;;;305.898;-44.888;6.01571708;-72.08247861;0.004346;-1.22e-19;230.087746;6.461e-15;-1.300e-27;;51600.00;24.40;;26.20;0.700;;TDB;;;;;;;;;;;;;;;;;4.521;2.547;-17.22;-3.191;-2.595;6.622;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;000000200000;1995;;;
22;B0021-72M;J0024-7204M;00:23:54.4;-72:05:30.7;5.252;-2.551;0.232;51600.00;311.217;-62.346;;;305.913;-44.877;5.97704125;-72.09187667;0.003677;-3.84e-20;271.987229;2.842e-15;7.000e-27;;51600.00;24.43;;25.30;1.200;;TDB;;;;;;;;;;;;;;;;;4.521;2.552;-17.23;-3.190;-2.595;6.621;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;000000200000;1991;;;
23;B0021-72N;J0024-7204N;00:24:09.1;-72:04:28.8;5.252;-2.551;0.232;51600.00;311.270;-62.353;;;305.890;-44.897;6.03828333;-72.07469186;0.003054;-2.19e-20;327.444319;2.343e-15;-9.000e-27;;51600.00;24.56;;25.90;;;TDB;;;;;;;;;;;;;;;;;4.521;2.585;-17.33;-3.191;-2.595;6.623;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;000000200000;1995;;;
24;J0024-7204O;J0024-7204O;00:24:04.6;-72:04:53.7;5.252;-2.551;0.232;51600.00;311.250;-62.352;;;305.897;-44.889;6.01938558;-72.08160194;0.002643;3.03e-20;378.308788;-4.344e-15;4.380e-26;;51600.00;24.36;;25.76;;;TDB;;;;;BTX;51600.0758;0.1360;0.0452;;;;;;0.0216;0.0250;UL[fck+03];4.521;2.537;-17.19;-3.191;-2.595;6.622;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;000000200000;2000;;;
25;J0024-7204P;J0024-7204P;00:24:20;-72:04:10;5.252;-2.551;0.232;51000.00;311.295;-62.362;;;305.872;-44.904;6.08333333;-72.06944444;0.003643;6.64e-19;274.497480;-5.000e-14;;;51000.00;24.29;;;;;TDB;;;;;BT;52912.5481;0.1472;0.0380;;;;;;0.0172;0.0199;UL[clf+00];4.521;2.523;-17.15;-3.191;-2.595;6.624;GC:47Tuc(NGC104);pksgc;000000200000;2000;;;
26;J0024-7204Q;J0024-7204Q;00:24:16.4;-72:04:25.1;5.252;-2.551;0.232;51600.00;311.282;-62.361;;;305.877;-44.899;6.06871208;-72.07365678;0.004033;3.40e-20;247.943237;-2.091e-15;7.000e-28;;51600.00;24.28;;25.20;;;TDB;;;;;ELL1;;1.1891;1.4622;129.44;8.028e-05;51600.2842;6.200e-05;-5.100e-05;0.1769;0.2069;He[rvh+15];4.521;2.520;-17.14;-3.191;-2.595;6.623;GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[rvh+1;pksgc;000000200000;2000;;;
27;J0024-7204R;J0024-7204R;00:24:07.5;-72:04:50.3;5.252;-2.551;0.232;51600.00;311.256;-62.355;;;305.892;-44.890;6.03160458;-72.08066539;0.003480;1.48e-19;287.318119;-1.225e-14;-8.500e-27;;51600.00;24.36;;25.70;;;TDB;;;;;ELL1;;0.0662;0.0334;253.30;1.044e-04;51600.0030;-1.000e-04;-3.000e-05;0.0258;0.0299;UL[clf+00];4.521;2.538;-17.19;-3.191;-2.595;6.622;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;000000200000;2000;;;
28;J0024-7204S;J0024-7204S;00:24:03.9;-72:04:42.3;5.252;-2.551;0.232;51600.00;311.255;-62.349;;;305.898;-44.892;6.01658083;-72.07843139;0.002830;-1.21e-19;353.306209;1.505e-14;-7.800e-27;;51600.00;24.38;;25.80;;;TDB;;;;;ELL1;;1.2017;0.7663;13.23;3.976e-04;51600.6250;9.100e-05;3.870e-04;0.0885;0.1028;He[rvh+15];4.521;2.543;-17.21;-3.191;-2.595;6.622;GC:47Tuc(NGC104),XRS:[bhc+17],OPT:[rvh+1;pksgc;000000200000;2000;;;
29;J0024-7204T;J0024-7204T;00:24:08.5;-72:04:38.9;5.252;-2.551;0.232;51600.00;311.264;-62.354;;;305.890;-44.894;6.03562125;-72.07748111;0.007588;2.94e-19;131.778699;-5.102e-15;-3.000e-27;;51600.00;24.42;;26.00;;;TDB;;;;;ELL1;;1.1262;1.3385;62.47;4.003e-04;51600.5693;3.550e-04;1.850e-04;0.1672;0.1954;He[cpf+15];4.521;2.553;-17.24;-3.191;-2.595;6.622;GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[cpf+1;pksgc;000000200000;2000;;;
30;J0024-7204U;J0024-7204U;00:24:09.8;-72:03:59.6;5.252;-2.551;0.232;51600.00;311.285;-62.350;;;305.890;-44.905;6.04098583;-72.06658006;0.004343;9.52e-20;230.264772;-5.049e-15;1.880e-26;;51600.00;24.34;;26.26;;;TDB;;;;;ELL1;;0.4291;0.5269;348.54;1.459e-04;51600.3894;-2.900e-05;1.430e-04;0.1228;0.1431;He[egh+01];4.521;2.535;-17.18;-3.192;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[cpf+1;pksgc;000000200000;2000;;;
31;J0024-7204V;J0024-7204V;00:24:05.6;-72:04:52.6;5.252;-2.551;0.232;51000.00;311.252;-62.353;;;305.895;-44.889;6.02362500;-72.08128333;0.004810;;207.892963;;;;51000.00;24.11;;;;;TDB;;;;;BTX;51803.7751;0.2121;0.7419;;;;;;0.2980;0.3515;;4.521;2.480;-17.01;-3.191;-2.595;6.622;GC:47Tuc(NGC104);pksgc;000000200000;2000;;;
32;J0024-7204W;J0024-7204W;00:24:06.0;-72:04:49.0;5.252;-2.551;0.232;50000.00;311.255;-62.353;;;305.894;-44.890;6.02524167;-72.08030222;0.002352;-8.66e-20;425.107796;1.564e-14;;;50000.00;24.37;;26.00;;;TDB;;;;;BTX;51585.3327;0.1329;0.2434;;;;;;0.1239;0.1444;MS[egc+02];4.521;2.540;-17.20;-3.191;-2.595;6.622;GC:47Tuc(NGC104),XRS:[bgh+06];pksgc;000000200000;2000;;;
33;J0024-7204X;J0024-7204X;00:24:22.3;-72:01:17.4;5.252;-2.551;0.232;54000.00;311.386;-62.340;;;305.877;-44.952;6.09327354;-72.02151150;0.004772;1.84e-20;209.576695;-8.065e-16;;;54000.00;24.54;;26.40;;;TDB;;;;;ELL1;;10.9212;11.9171;116.57;4.472e-07;53278.0247;4.000e-07;-2.000e-07;0.3536;0.4186;;4.521;2.586;-17.34;-3.194;-2.592;6.625;GC:47Tuc(NGC104);pksgc;000000200000;2008;;;
34;J0024-7204Y;J0024-7204Y;00:24:01.4;-72:04:41.8;5.252;-2.551;0.232;51600.00;311.252;-62.347;;;305.903;-44.891;6.00584417;-72.07828786;0.002197;-3.52e-20;455.237178;7.289e-15;-2.110e-26;;51600.00;24.48;;26.00;;;TDB;;;;;ELL1;;0.5219;0.6686;270.00;3.000e-06;51554.8340;-3.000e-06;0.000e+00;0.1376;0.1605;He[cpf+15];4.521;2.565;-17.27;-3.191;-2.594;6.622;GC:47Tuc(NGC104),OPT:[cpf+15];pksgc;000000200000;2017;;;
35;J0024-7204Z;J0024-7204Z;00:24:06.0;-72:05:01.4;5.252;-2.551;0.232;51600.00;311.248;-62.354;;;305.894;-44.887;6.02517083;-72.08374444;0.004554;-4.54e-21;219.565606;2.190e-16;8.000e-27;;51600.00;24.45;;;;;TDB;;;;;;;;;;;;;;;;;4.521;2.559;-17.25;-3.191;-2.595;6.622;GC:47Tuc(NGC104),XRS:[bhc+17];misc;000000400000;2017;;;
36;J0026-1955;J0026-1955;00:26:36;-19:55:59;;;;58880.50;357.809;-20.861;;;83.291;-80.829;6.65000000;-19.93305556;1.306150;;0.765609;;;;58880.50;20.87;;;85.000;95.000;TDB;;;;;;;;;;;;;;;;;25.000;25.000;-20.60;-24.680;3.957;8.034;;gbncc,mwa_smart;200200000000;2020;;;
37;J0026+6320;J0026+6320;00:26:50.5;+63:20:00.8;;;;56675.00;42.160;53.038;;;120.176;0.593;6.71067083;63.33357500;0.318358;1.51e-16;3.141120;-1.486e-15;;;56675.00;245.06;;-294.00;8.100;48.000;TDB;0.00;;1.00;;;;;;;;;;;;;;6.619;6.619;2.54;0.069;5.722;11.827;;misc,gbncc;002000400000;2009;;;
38;J0030+0451;J0030+0451;00:30:27.4;+04:51:39.7;-6.150;0.370;3.040;55664.00;8.910;1.446;;;113.141;-57.611;7.61428128;4.86103100;0.004865;1.02e-20;205.530699;-4.296e-16;;;59046.00;4.33;;1.17;;;TDB;;7.90;1.09;0.63;;;;;;;;;;;;;0.329;0.345;-3.66;-0.278;0.162;8.569;GRS:4FGL_J0030.4+0451[aab+22];misc,lotaas,gbncc,FermiBlind;022004400000;2000;HE[btlb00,aaa+09e];;
39;J0033+57;J0033+57;00:33;+57;;;;54100.00;36.942;47.593;;;120.410;-5.781;8.25000000;57.00000000;0.315000;;3.174603;;;;54100.00;75.65;;;8.600;19.000;TDB;;;;;;;;;;;;;;;;;2.251;2.251;-7.62;-0.227;1.931;9.634;;gbt350,lotaas,gbncc;022040000000;2008;;;
40;J0033+61;J0033+61;00:33;+61;;;;54100.00;40.634;50.785;;;120.698;-1.792;8.25000000;61.00000000;0.912000;;1.096491;;;;54100.00;37.70;;;16.000;26.000;TDB;;;;;;;;;;;;;;;;;1.654;1.654;-1.18;-0.052;1.422;9.344;;gbt350,lotaas,gbncc;022040000000;2008;;;
41;J0034-0534;J0034-0534;00:34:21.8;-05:34:36.7;7.900;-9.200;;55000.00;5.672;-8.528;;;111.492;-68.069;8.59097592;-5.57686722;0.001877;4.97e-21;532.713430;-1.409e-15;;;55000.00;13.77;;-38.00;0.650;0.980;TCB;0.00;24.00;0.21;;ELL1;;1.5893;1.4378;314.06;4.314e-06;48765.5995;-3.100e-06;3.000e-06;0.1411;0.1646;He[bkb+95];1.348;1.348;-12.77;-1.250;0.468;8.684;GRS:4FGL_J0034.3-0534[aab+22];pks70,gbncc,FermiBlind;002004004000;1994;HE[aaa+10b];;
42;B0031-07;J0034-0721;00:34:08.8;-07:21:53.4;10.370;-11.130;0.930;52275.00;4.900;-10.147;;;110.420;-69.815;8.53695958;-7.36483583;0.942951;4.08e-16;1.060500;-4.591e-16;;;46635.00;10.92;;9.89;53.000;120.000;TDB;0.00;52.00;11.10;;;;;;;;;;;;;;1.030;0.996;-10.25;-0.967;0.333;8.624;;mol1,pks70,lotaas;020000004001;1969;;;
43;J0034+69;J0034+69;00:34;+69:43;;;;56292.00;50.783;57.162;;;121.411;6.896;8.50000000;69.71666667;0.036804;;27.170871;;;;56292.00;80.01;;;1.200;2.700;TDB;;4.50;;;;;;;;;;;;;;;2.283;2.283;9.61;0.274;1.934;9.681;;gbncc;002000000000;2014;;;
44;J0036-1033;J0036-1033;00:36:15.0;-10:33:14.2;;;;58774.00;4.078;-13.276;;;110.033;-73.044;9.06254167;-10.55394444;0.900009;2.13e-16;1.111100;-2.631e-16;;;58774.00;23.10;;-8.10;15.000;;TDB;;1.00;;;;;;;;;;;;;;;25.000;25.000;-22.10;-23.913;6.850;10.998;;mwa_smart;200000000000;2021;;;
45;J0038-2501;J0038-2501;00:38:10.2;-25:01:30.7;;;;57474.00;358.049;-26.607;;;67.413;-86.354;9.54276667;-25.02520278;0.256926;7.60e-19;3.892164;-1.151e-17;;;57474.00;5.71;;;14.000;15.000;TDB;;;;;;;;;;;;;;;;;0.604;0.604;-5.70;-0.603;0.035;8.485;;gbncc;002000000000;2019;;;
46;J0039+35;J0039+35;00:39:06;+35:45;;;;;24.163;28.766;;;120.121;-27.054;9.77500000;35.75000000;0.536700;;1.863238;;;;;53.04;;;11.000;;TDB;;;;;;;;;;;;;;;;;25.000;25.000;-24.12;-11.371;19.258;19.673;;lotaas;020000000000;2019;;;
47;B0037+56;J0040+5716;00:40:32.3;+57:16:24.8;12.390;-5.400;0.110;56000.00;38.407;47.223;;;121.452;-5.567;10.13495792;57.27356472;1.118225;2.88e-15;0.894274;-2.302e-15;-1.200e-28;;49667.00;92.51;;15.30;12.200;24.400;TDB;;7.50;0.60;;;;;;;;;;;;;;2.420;2.420;-8.97;-0.235;2.055;9.757;;gb2,gbncc,lotaas;022000000040;1985;;;
48;J0043-73;J0043-73;00:43:25;-73:11;;;;57990.69;310.662;-64.147;;;303.737;-43.932;10.85416667;-73.18333333;0.937429;;1.066747;;;;57990.69;115.10;;;;;TDB;;;0.05;;;;;;;;;;;;;;58.938;58.938;-79.86;-40.892;-35.297;-15.073;EXGAL:SMC;misc;000000400000;2019;;;
49;J0045-7042;J0045-7042;00:45:25.6;-70:42:07.1;;;;52407.00;315.743;-63.103;;;303.652;-46.418;11.35704167;-70.70197222;0.632336;2.49e-15;1.581438;-6.227e-15;;;52407.00;71.30;;31.00;20.000;;TDB;;;0.06;;;;;;;;;;;;;;59.700;58.577;-51.65;-43.246;-34.260;-14.307;EXGAL:SMC;misc;000000400000;2006;;;
50;J0045-7319;J0045-7319;00:45:35.1;-73:19:03.0;;;;49144.00;310.543;-64.347;;;303.514;-43.804;11.39650000;-73.31750000;0.926276;4.46e-15;1.079592;-5.202e-15;8.200e-25;;49144.00;104.60;;-25.00;20.000;220.000;TDB;;1.00;0.25;;BT;49169.2136;51.1695;174.2576;115.25;8.079e-01;;;;3.9212;5.2711;MS[bbs+95];59.700;58.705;-72.40;-41.324;-35.923;-15.289;EXGAL:SMC;misc;000000400000;1991;;;
51;B0045+33;J0048+3412;00:48:33.9;+34:12:08.0;;;;49875.00;25.357;26.522;;;122.255;-28.666;12.14160282;34.20223077;1.217094;2.35e-15;0.821629;-1.589e-15;-1.000e-27;;49875.00;39.92;;-83.30;21.700;31.500;TDB;0.00;2.30;;;;;;;;;;;;;;;4.500;4.500;-19.15;-2.159;3.339;10.607;;gb2,gb3,lotaas;020000000240;1985;;;
52;J0050+03;J0050+03;00:50:31;+03:48;;;;57022.00;13.097;-1.488;;;122.485;-59.071;12.62916667;3.80000000;1.366560;;0.731764;;;;57022.00;26.50;;;33.000;;TDB;;;;;;;;;;;;;;;;;25.000;25.000;-22.73;-21.445;10.839;15.401;;ar327;001000000000;2016;;;
53;J0051+0423;J0051+0423;00:51:30.1;+04:22:49;;;;49800.00;13.548;-1.049;;;122.962;-58.491;12.87541667;4.38027778;0.354732;7.00e-18;2.819031;-5.563e-17;;;49800.00;13.93;;;11.000;34.000;TDB;;3.00;0.50;;;;;;;;;;;;;;1.250;1.250;-11.88;-1.066;0.548;8.855;;gb4,lotaas,gbncc;022000010000;1997;;;
54;J0052-72;J0052-72;00:52:28;-72:05;;;;58008.54;313.617;-64.258;;;302.820;-45.045;13.11666667;-72.08333333;0.191444;;5.223451;;;;58008.54;158.60;;;;;TDB;;;0.04;;;;;;;;;;;;;;60.261;60.261;-112.23;-42.644;-35.781;-14.577;EXGAL:SMC;misc;000000400000;2019;;;
55;J0054+66;J0054+66;00:54;+66;;;;54100.00;48.720;53.168;;;123.193;3.130;13.50000000;66.00000000;1.390000;;0.719424;;;;54100.00;15.00;;;;;TDB;;;;;;;;;;;;;;;;;0.901;0.901;0.82;0.049;0.753;8.993;;gbt350;000040000000;2008;RRAT;;
56;J0054+69;J0054+69;00:54:28;+69:26;;;;;52.708;55.701;;;123.200;6.563;13.61666667;69.43333333;;;;;;;;90.30;;;;;TDB;;;;;;;;;;;;;;;;;2.347;2.347;10.32;0.268;1.951;9.777;;gbncc;002000000000;2015;RRAT[kkl+15];;
57;J0054+6946;J0054+6946;00:54:59.1;+69:46:16.8;;;;56500.00;53.180;55.915;;;123.241;6.902;13.74631750;69.77134719;0.832911;7.19e-16;1.200608;-1.037e-15;;;56500.00;116.52;;;14.000;31.000;TDB;;;;;;;;;;;;;;;;;2.758;2.758;14.00;0.331;2.290;10.001;;gbncc;002000000000;2014;;;
58;B0052+51;J0055+5117;00:55:45.3;+51:17:24.6;10.470;-17.400;0.350;56000.00;36.469;40.996;;;123.621;-11.576;13.93915875;51.29016694;2.115171;9.54e-15;0.472775;-2.132e-15;7.800e-28;;49664.00;44.01;;-64.09;73.000;92.100;TDB;0.00;3.40;1.50;;;;;;;;;;;;;;2.790;1.935;-8.83;-0.560;2.276;10.013;;gb2,lotaas;020000000040;1985;;;
59;B0053+47;J0056+4756;00:56:25.5;+47:56:10.5;;;;49872.00;34.413;38.038;;;123.796;-14.927;14.10630345;47.93626269;0.472037;3.33e-15;2.118480;-1.494e-14;-2.700e-26;;49872.00;18.14;;-34.16;11.800;31.300;TDB;;3.00;;;;;;;;;;;;;;;1.123;1.123;-4.67;-0.289;0.902;9.104;;gb2,lotaas;020000000040;1985;;;
60;J0057-7201;J0057-7201;00:57:44.0;-72:01:19;;;;51213.00;314.163;-64.594;;;302.244;-45.098;14.43333333;-72.02194444;0.738062;1.00e-16;1.354899;-1.836e-16;;;51213.00;27.00;;;;;TDB;;;;;;;;;;;;;;;;;3.476;3.476;-19.12;-2.462;-2.075;7.191;;misc;000000400000;2001;;;
61;J0058+4950;J0058+4950;00:58:09.9;+49:50:26.0;;;;56500.00;35.941;39.552;;;124.045;-13.017;14.54162336;49.84055678;0.996023;8.04e-16;1.003992;-8.100e-16;;;56500.00;66.95;;;38.000;50.000;TDB;;;;;;;;;;;;;;;;;2.646;2.646;-15.08;-0.596;2.136;9.943;;gbncc;002000000000;2014;;;
62;J0058+6125;J0058+6125;00:58;+61:25;;;;54100.00;44.752;49.289;;;123.717;-1.445;14.50000000;61.41666667;0.637000;;1.569859;;;;54100.00;128.30;;-212.00;7.800;17.000;TDB;;;;;;;;;;;;;;;;;2.597;2.597;-3.24;-0.065;2.159;9.941;;gbt350,gbncc;002040000000;2008;;;
63;J0058-7218;J0058-7218;00:58:16.7;-72:18:06;;;;58924.00;313.617;-64.753;;;302.199;-44.817;14.56958333;-72.30166667;0.021766;2.89e-14;45.942987;-6.100e-11;;;58924.00;;;;;;TDB;;;;;;;;;;;;;;;;;59.700;;;-42.079;-35.836;-14.066;EXGAL:SMC,XRS:PWN_IKT_16[met+21];misc;000000400000;2021;NRAD[met+21];;
